"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	88
	"Brain and Other Nervous System"	"31010-31040"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	207
	"Brain and Other Nervous System"	"31010-31040"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	1281
	"Brain and Other Nervous System"	"31010-31040"	"< 1 year"	"1"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	40
	"Brain and Other Nervous System"	"31010-31040"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	72
	"Brain and Other Nervous System"	"31010-31040"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	206
	"Brain and Other Nervous System"	"31010-31040"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	1400
	"Brain and Other Nervous System"	"31010-31040"	"< 1 year"	"1"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	30
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	54
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	285
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	902
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	5787
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	175
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	77
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	332
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	1009
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	6596
	"Brain and Other Nervous System"	"31010-31040"	"1-4 years"	"1-4"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	215
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	64
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	297
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	994
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	5639
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	166
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	86
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	346
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	1058
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	6695
	"Brain and Other Nervous System"	"31010-31040"	"5-9 years"	"5-9"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	177
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	57
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	235
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	757
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	4900
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	103
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	70
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	276
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	783
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	5684
	"Brain and Other Nervous System"	"31010-31040"	"10-14 years"	"10-14"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	105
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	47
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	170
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	595
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	3844
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	81
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	62
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	208
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	699
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	4863
	"Brain and Other Nervous System"	"31010-31040"	"15-19 years"	"15-19"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	96
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	32
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	184
