"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"Female"	"F"	109
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	"Male"	"M"	125
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"Female"	"F"	340
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	"Male"	"M"	453
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"5-9 years"	"5-9"	"Female"	"F"	252
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"5-9 years"	"5-9"	"Male"	"M"	322
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"10-14 years"	"10-14"	"Female"	"F"	298
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"10-14 years"	"10-14"	"Male"	"M"	350
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"15-19 years"	"15-19"	"Female"	"F"	505
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"15-19 years"	"15-19"	"Male"	"M"	527
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	774
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	730
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	"Female"	"F"	1448
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	"Male"	"M"	1073
